date;meals;amount
2013-09-23;93;1.183,20
2013-09-22;90;1.145,97
2013-09-21;86;1.102,31
2013-09-20;97;1.233,28
2013-09-19;82;1.040,40
2013-09-18;80;1.020,00
2013-09-17;90;1.142,39
2013-09-16;93;1.183,19
2013-09-15;98;1.244,19
2013-09-14;90;1.145,96
2013-09-13;89;1.135,05
2013-09-12;80;1.019,99
2013-09-11;95;1.213,79
2013-09-10;94;1.193,39
2013-09-09;86;1.101,59
2013-09-08;89;1.135,04
2013-09-07;103;1.309,66
2013-09-06;89;1.135,04
2013-09-05;96;1.223,98
2013-09-04;93;1.183,18
2013-09-03;90;1.152,58
2013-09-02;81;1.030,18
2013-09-01;86;1.102,29
2013-08-31;98;1.244,17
2013-08-30;94;1.200,52
2013-08-29;86;1.101,58
2013-08-28;86;1.101,58
2013-08-27;86;1.101,58
2013-08-26;86;1.101,57
2013-08-25;86;1.091,37
2013-08-24;99;1.265,99
2013-08-23;88;1.124,11
2013-08-22;84;1.070,97
2013-08-21;94;1.203,57
2013-08-20;94;1.193,37
2013-08-19;86;1.101,57
2013-08-18;101;1.287,82
2013-08-17;92;1.178,68
2013-08-16;89;1.135,02
2013-08-15;90;1.142,36
2013-08-14;91;1.162,76
2013-08-13;86;1.101,56
2013-08-12;90;1.142,36
2013-08-11;96;1.222,33
2013-08-10;89;1.135,01
2013-08-09;86;1.091,36
2013-08-08;94;1.193,36
2013-08-07;82;1.050,56
2013-08-06;84;1.070,96
2013-08-05;94;1.193,36
2013-08-04;102;1.298,72
2013-08-03;102;1.298,72
2013-08-02;101;1.287,80
2013-08-01;80;1.019,95
2013-07-31;90;1.142,35
2013-07-30;86;1.101,55
2013-07-29;87;1.111,75
2013-07-28;86;1.091,34
2013-07-27;100;1.276,88
2013-07-26;100;1.276,88
2013-07-25;80;1.019,94
2013-07-24;90;1.152,54
2013-07-23;80;1.019,94
2013-07-22;85;1.081,14
2013-07-21;94;1.200,48
2013-07-20;100;1.276,87
2013-07-19;98;1.244,13
2013-07-18;86;1.101,54
2013-07-17;84;1.070,94
2013-07-16;94;1.203,54
2013-07-15;96;1.223,94
2013-07-14;102;1.298,70
2013-07-13;91;1.156,81
2013-07-12;96;1.222,30
2013-07-11;89;1.132,13
2013-07-10;89;1.132,13
2013-07-09;90;1.142,33
2013-07-08;86;1.101,53
2013-07-07;98;1.255,03
2013-07-06;100;1.276,86
2013-07-05;89;1.134,98
2013-07-04;90;1.152,53
2013-07-03;92;1.172,92
2013-07-02;82;1.040,32
2013-07-01;91;1.162,72
2013-06-30;92;1.167,71
2013-06-29;95;1.211,37
2013-06-28;88;1.124,06
2013-06-27;86;1.091,32
2013-06-26;86;1.091,32
2013-06-25;96;1.223,92
2013-06-24;86;1.101,52
2013-06-23;103;1.309,59
2013-06-22;86;1.091,31
2013-06-21;98;1.255,02
2013-06-20;88;1.121,91
2013-06-19;94;1.193,31
2013-06-18;86;1.101,51
2013-06-17;94;1.203,51
2013-06-16;87;1.113,13
2013-06-15;91;1.156,79
2013-06-14;101;1.287,75
2013-06-13;80;1.019,91
2013-06-12;90;1.152,51
2013-06-11;87;1.111,70
2013-06-10;90;1.142,30
2013-06-09;88;1.124,04
2013-06-08;86;1.091,29
2013-06-07;103;1.309,57
2013-06-06;94;1.203,50
2013-06-05;94;1.203,50
2013-06-04;83;1.060,70
2013-06-03;89;1.132,10
2013-06-02;97;1.233,17
2013-06-01;91;1.156,77
2013-05-31;90;1.145,86
2013-05-30;80;1.019,89
2013-05-29;94;1.193,29
2013-05-28;86;1.101,49
2013-05-27;86;1.101,49
2013-05-26;88;1.124,02
2013-05-25;92;1.178,59
2013-05-24;99;1.265,90
2013-05-23;82;1.050,49
2013-05-22;86;1.101,49
2013-05-21;88;1.121,89
2013-05-20;90;1.152,48
2013-05-19;90;1.145,85
2013-05-18;102;1.298,64
2013-05-17;94;1.200,41
2013-05-16;86;1.091,28
2013-05-15;84;1.070,88
