date;meals;amount
2015-02-05;218;2.180,00
2015-02-04;240;2.400,04
2015-02-03;236;2.360,08
2015-02-02;240;2.400,12
2015-02-01;236;2.360,16
2015-01-31;240;2.400,20
2015-01-30;200;2.000,24
2015-01-29;206;2.060,28
2015-01-28;216;2.160,32
2015-01-27;202;2.020,36
2015-01-26;232;2.320,40
2015-01-25;236;2.360,44
2015-01-24;234;2.340,48
2015-01-23;226;2.260,52
2015-01-22;238;2.380,56
2015-01-21;236;2.360,60
2015-01-20;216;2.160,64
2015-01-19;236;2.360,68
2015-01-18;230;2.300,72
2015-01-17;214;2.140,76
2015-01-16;234;2.340,80
2015-01-15;232;2.320,84
2015-01-14;200;2.000,88
2015-01-13;208;2.080,92
2015-01-12;206;2.060,96
2015-01-11;204;2.041,00
2015-01-10;238;2.381,04
2015-01-09;222;2.221,08
2015-01-08;232;2.321,12
2015-01-07;204;2.041,16
2015-01-06;234;2.341,20
2015-01-05;210;2.101,24
2015-01-04;204;2.041,28
2015-01-03;230;2.301,32
2015-01-02;210;2.101,36
2015-01-01;240;2.401,40
2014-12-31;228;2.281,44
2014-12-30;210;2.101,48
2014-12-29;206;2.061,52
2014-12-28;204;2.041,56
2014-12-27;214;2.141,60
2014-12-26;238;2.381,64
2014-12-25;240;2.401,68
2014-12-24;208;2.081,72
2014-12-23;222;2.221,76
2014-12-22;236;2.361,80
2014-12-21;202;2.021,84
2014-12-20;240;2.401,88
2014-12-19;232;2.321,92
2014-12-18;234;2.341,96
2014-12-17;212;2.122,00
2014-12-16;226;2.262,04
2014-12-15;224;2.242,08
2014-12-14;214;2.142,12
2014-12-13;234;2.342,16
2014-12-12;230;2.302,20
2014-12-11;220;2.202,24
2014-12-10;232;2.322,28
2014-12-09;212;2.122,32
2014-12-08;210;2.102,36
2014-12-07;238;2.382,40
2014-12-06;204;2.042,44
2014-12-05;222;2.222,48
2014-12-04;200;2.002,52
2014-12-03;234;2.342,56
2014-12-02;232;2.322,60
2014-12-01;200;2.002,64
2014-11-30;222;2.222,68
2014-11-29;202;2.022,72
2014-11-28;208;2.082,76
2014-11-27;226;2.262,80
2014-11-26;218;2.182,84
2014-11-25;204;2.042,88
2014-11-24;224;2.242,92
2014-11-23;228;2.282,96
2014-11-22;228;2.283,00
2014-11-21;220;2.203,04
2014-11-20;230;2.303,08
2014-11-19;226;2.263,12
2014-11-18;212;2.123,16
2014-11-17;224;2.243,20
2014-11-16;240;2.403,24
2014-11-15;238;2.383,28
2014-11-14;206;2.063,32
2014-11-13;214;2.143,36
2014-11-12;232;2.323,40
2014-11-11;238;2.383,44
2014-11-10;234;2.343,48
2014-11-09;222;2.223,52
2014-11-08;208;2.083,56
2014-11-07;204;2.043,60
2014-11-06;220;2.203,64
2014-11-05;214;2.143,68
2014-11-04;226;2.263,72
2014-11-03;220;2.203,76
2014-11-02;206;2.063,80
2014-11-01;218;2.183,84
2014-10-31;222;2.223,88
2014-10-30;228;2.283,92
2014-10-29;220;2.203,96
2014-10-28;230;2.304,00
2014-10-27;214;2.144,04
2014-10-26;240;2.404,08
2014-10-25;236;2.364,12
2014-10-24;240;2.404,16
2014-10-23;226;2.264,20
2014-10-22;222;2.224,24
2014-10-21;218;2.184,28
2014-10-20;216;2.164,32
2014-10-19;208;2.084,36
2014-10-18;230;2.304,40
2014-10-17;240;2.404,44
2014-10-16;208;2.084,48
2014-10-15;228;2.284,52
2014-10-14;206;2.064,56
2014-10-13;222;2.224,60
2014-10-12;220;2.204,64
2014-10-11;204;2.044,68
2014-10-10;214;2.144,72
2014-10-09;202;2.024,76
2014-10-08;214;2.144,80
2014-10-07;218;2.184,84
2014-10-06;222;2.224,88
2014-10-05;228;2.284,92
2014-10-04;204;2.044,96
2014-10-03;203;2.025,00
2014-10-02;237;2.365,04
2014-10-01;223;2.225,08
2014-09-30;225;2.245,12
2014-09-29;225;2.245,16
2014-09-28;203;2.025,20
2014-09-27;215;2.145,24
2014-09-26;239;2.385,28
2014-09-25;201;2.005,32
2014-09-24;209;2.085,36
2014-09-23;237;2.365,40
2014-09-22;227;2.265,44
2014-09-21;233;2.325,48
2014-09-20;215;2.145,52
2014-09-19;203;2.025,56
2014-09-18;241;2.405,60
2014-09-17;205;2.045,64
2014-09-16;201;2.005,68
2014-09-15;209;2.085,72
2014-09-14;235;2.345,76
2014-09-13;209;2.085,80
2014-09-12;231;2.305,84
2014-09-11;213;2.125,88
2014-09-10;215;2.145,92
2014-09-09;203;2.025,96
2014-09-08;217;2.166,00
2014-09-07;229;2.286,04
2014-09-06;223;2.226,08
2014-09-05;239;2.386,12
2014-09-04;217;2.166,16
2014-09-03;227;2.266,20
2014-09-02;201;2.006,24
2014-09-01;211;2.106,28
2014-08-31;209;2.086,32
2014-08-30;225;2.246,36
2014-08-29;235;2.346,40
2014-08-28;211;2.106,44
2014-08-27;239;2.386,48
2014-08-26;233;2.326,52
2014-08-25;213;2.126,56
2014-08-24;207;2.066,60
2014-08-23;229;2.286,64
2014-08-22;241;2.406,68
2014-08-21;239;2.386,72
2014-08-20;201;2.006,76
2014-08-19;201;2.006,80
2014-08-18;239;2.386,84
2014-08-17;205;2.046,88
2014-08-16;203;2.026,92
2014-08-15;205;2.046,96
