date;meals;amount
2010-12-28;82;959,40
2010-12-27;70;820,08
2010-12-26;69;811,96
2010-12-25;80;933,81
2010-12-24;70;820,24
2010-12-23;74;861,41
2010-12-22;76;894,29
2010-12-21;78;918,97
2010-12-20;71;837,06
2010-12-19;79;926,18
2010-12-18;83;966,85
2010-12-17;69;812,69
2010-12-16;81;952,18
2010-12-15;81;944,07
2010-12-14;74;862,15
2010-12-13;81;952,43
2010-12-12;83;967,34
2010-12-11;81;951,19
2010-12-10;73;853,85
2010-12-09;71;829,76
2010-12-08;76;887,24
2010-12-07;77;903,72
2010-12-06;82;961,20
2010-12-05;73;854,26
2010-12-04;72;838,10
2010-12-03;80;935,60
2010-12-02;74;863,13
2010-12-01;72;846,81
2010-11-30;83;969,90
2010-11-29;81;945,38
2010-11-28;81;944,12
2010-11-27;79;927,97
2010-11-26;81;944,29
2010-11-25;81;953,91
2010-11-24;77;896,59
2010-11-23;82;962,27
2010-11-22;71;831,15
2010-11-21;83;969,05
2010-11-20;76;887,95
2010-11-19;72;839,32
2010-11-18;79;921,68
2010-11-17;75;880,76
2010-11-16;73;856,24
2010-11-15;75;880,93
2010-11-14;70;823,49
2010-11-13;77;896,63
2010-11-12;72;839,89
2010-11-11;70;823,85
2010-11-10;75;873,14
2010-11-09;77;897,82
2010-11-08;71;832,30
2010-11-07;80;937,71
2010-11-06;83;970,26
2010-11-05;82;962,23
2010-11-04;70;824,43
2010-11-03;71;832,71
2010-11-02;79;931,19
2010-11-01;74;865,67
2010-10-31;72;848,98
2010-10-30;77;897,77
2010-10-29;84;979,03
2010-10-28;70;825,00
2010-10-27;73;849,68
2010-10-26;82;956,37
2010-10-25;82;964,65
2010-10-24;78;914,49
2010-10-23;78;914,57
2010-10-22;82;963,36
2010-10-21;78;915,78
2010-10-20;71;833,86
2010-10-19;70;825,74
2010-10-18;72;842,22
2010-10-17;76;890,71
2010-10-16;73;858,32
2010-10-15;76;890,87
2010-10-14;78;916,35
2010-10-13;81;949,23
2010-10-12;79;924,71
2010-10-11;78;916,60
2010-10-10;71;826,33
2010-10-09;70;818,29
2010-10-08;78;915,79
2010-10-07;82;957,92
2010-10-06;85;990,81
2010-10-05;78;908,89
2010-10-04;82;958,17
2010-10-03;70;818,78
2010-10-02;71;835,10
2010-10-01;71;827,06
2010-09-30;74;868,30
2010-09-29;80;933,98
2010-09-28;71;827,46
2010-09-27;75;876,74
2010-09-26;82;957,36
2010-09-25;81;949,32
2010-09-24;71;835,75
2010-09-23;77;901,67
2010-09-22;76;893,55
2010-09-21;85;992,04
2010-09-20;85;992,12
2010-09-19;77;901,10
2010-09-18;70;820,00
2010-09-17;71;828,20
2010-09-16;84;984,25
2010-09-15;74;869,53
2010-09-14;78;918,81
2010-09-13;77;902,49
2010-09-12;70;820,49
2010-09-11;71;836,80
2010-09-10;70;820,65
2010-09-09;71;837,22
2010-09-08;73;853,70
2010-09-07;79;927,58
2010-09-06;83;968,67
2010-09-05;71;837,29
2010-09-04;71;837,37
2010-09-03;79;926,75
2010-09-02;73;854,19
2010-09-01;74;870,68
2010-08-31;81;944,56
2010-08-30;77;903,64
2010-08-29;83;967,75
2010-08-28;81;943,47
2010-08-27;81;943,56
2010-08-26;81;944,97
2010-08-25;79;920,45
2010-08-24;83;969,73
2010-08-23;72;846,81
2010-08-22;84;984,55
2010-08-21;82;960,28
2010-08-20;71;830,47
2010-08-19;77;904,54
2010-08-18;83;970,22
2010-08-17;73;855,51
2010-08-16;77;896,59
2010-08-15;72;839,00
2010-08-14;80;936,49
2010-08-13;82;960,93
2010-08-12;72;847,72
2010-08-11;83;970,80
2010-08-10;83;970,88
2010-08-09;74;864,36
2010-08-08;84;985,69
2010-08-07;77;896,47
2010-08-06;70;823,49
2010-08-05;72;848,29
2010-08-04;79;930,37
2010-08-03;81;946,85
2010-08-02;75;881,34
2010-08-01;82;961,90
2010-07-31;76;888,92
2010-07-30;81;953,95
2010-07-29;81;947,26
2010-07-28;73;857,15
2010-07-27;79;922,83
2010-07-26;77;898,31
2010-07-25;81;946,23
2010-07-24;75;881,37
2010-07-23;78;913,92
2010-07-22;81;947,84
2010-07-21;74;865,92
2010-07-20;80;939,80
2010-07-19;73;857,88
2010-07-18;70;825,03
2010-07-17;82;955,00
2010-07-16;78;914,49
2010-07-15;73;850,01
2010-07-14;77;907,49
2010-07-13;76;891,18
2010-07-12;75;874,86
2010-07-11;74;866,19
2010-07-10;73;858,15
2010-07-09;77;898,82
2010-07-08;75;875,19
2010-07-07;81;949,07
2010-07-06;78;916,35
2010-07-05;77;900,03
2010-07-04;74;866,76
2010-07-03;73;858,72
2010-07-02;81;948,10
2010-07-01;72;842,96
2010-06-30;80;941,44
2010-06-29;78;916,92
2010-06-28;82;966,21
2010-06-27;82;956,63
2010-06-26;71;826,82
2010-06-25;73;859,37
2010-06-24;78;917,33
2010-06-23;77;901,02
2010-06-22;82;958,50
2010-06-21;73;860,18
2010-06-20;79;924,72
2010-06-19;75;884,21
2010-06-18;75;876,18
2010-06-17;80;942,51
2010-06-16;73;860,59
2010-06-15;83;975,47
2010-06-14;83;967,35
2010-06-13;80;933,41
2010-06-12;73;860,43
2010-06-11;71;828,04
2010-06-10;85;992,28
2010-06-09;78;910,36
2010-06-08;78;918,65
2010-06-07;74;861,33
2010-06-06;72;844,68
2010-06-05;71;828,52
2010-06-04;79;926,02
2010-06-03;76;894,46
2010-06-02;74;869,94
2010-06-01;76;886,42
2010-05-31;78;911,10
2010-05-30;83;967,02
2010-05-29;82;958,98
2010-05-28;74;861,64
2010-05-27;80;936,03
2010-05-26;83;977,11
2010-05-25;77;903,39
2010-05-24;73;854,28
2010-05-23;74;870,17
2010-05-22;73;854,01
2010-05-21;75;878,45
2010-05-20;84;985,80
2010-05-19;79;928,49
2010-05-18;80;936,77
2010-05-17;79;920,45
2010-05-16;81;943,80
2010-05-15;77;903,29
2010-05-14;74;870,90
2010-05-13;76;887,98
2010-05-12;81;953,66
2010-05-11;76;888,14
2010-05-10;74;871,82
2010-05-09;72;846,95
2010-05-08;83;968,80
2010-05-07;76;895,82
2010-05-06;74;872,15
2010-05-05;84;978,83
2010-05-04;86;1.003,52
2010-05-03;80;938,00
2010-05-02;72;839,40
2010-05-01;74;871,95
2010-04-30;71;831,45
2010-04-29;84;987,53
2010-04-28;72;848,21
2010-04-27;75;872,89
2010-04-26;79;922,17
2010-04-25;84;986,09
2010-04-24;80;937,47
2010-04-23;79;929,43
2010-04-22;74;865,10
2010-04-21;84;979,98
2010-04-20;84;988,26
2010-04-19;72;840,75
2010-04-18;76;889,25
2010-04-17;78;913,68
2010-04-16;79;921,88
2010-04-15;72;849,27
2010-04-14;86;1.005,16
2010-04-13;84;980,64
2010-04-12;77;906,92
2010-04-11;81;946,64
2010-04-10;73;857,42
2010-04-09;80;938,68
2010-04-08;83;972,85
2010-04-07;86;1.005,73
2010-04-06;72;841,81
2010-04-05;72;841,89
2010-04-04;83;971,56
2010-04-03;71;833,64
2010-04-02;79;931,13
2010-04-01;84;989,82
2010-03-31;76;891,50
2010-03-30;80;940,79
2010-03-29;82;965,47
2010-03-28;77;899,07
2010-03-27;83;972,21
2010-03-26;75;874,88
2010-03-25;76;892,00
2010-03-24;79;924,88
2010-03-23;85;990,56
2010-03-22;79;925,04
2010-03-21;75;883,40
2010-03-20;82;956,54
2010-03-19;79;924,15
2010-03-18;82;958,17
2010-03-17;76;884,45
2010-03-16;73;851,73
2010-03-15;83;974,82
2010-03-14;75;875,85
2010-03-13;84;981,47
2010-03-12;73;859,78
2010-03-11;85;999,74
2010-03-10;73;852,23
2010-03-09;84;983,51
2010-03-08;82;958,99
2010-03-07;71;835,83
2010-03-06;84;982,03
2010-03-05;81;949,64
2010-03-04;84;983,92
2010-03-03;85;992,20
2010-03-02;76;893,88
2010-03-01;83;967,76
2010-02-28;74;868,87
2010-02-27;84;982,60
2010-02-26;78;917,74
2010-02-25;81;943,49
2010-02-24;83;968,17
2010-02-23;83;968,26
2010-02-22;85;1.001,14
2010-02-21;74;869,44
2010-02-20;80;934,46
2010-02-19;77;902,07
2010-02-18;80;935,87
2010-02-17;77;903,15
2010-02-16;86;1.001,63
2010-02-15;76;886,91
2010-02-14;80;934,95
2010-02-13;72;837,62
2010-02-12;72;837,70
2010-02-11;85;993,84
2010-02-10;86;1.002,12
2010-02-09;75;879,20
2010-02-08;83;977,69
2010-02-07;85;1.000,46
2010-02-06;72;838,18
2010-02-05;78;911,33
2010-02-04;72;846,81
2010-02-03;85;994,50
2010-02-02;74;871,58
2010-02-01;85;994,66
2010-01-31;83;968,56
2010-01-30;78;911,81
2010-01-29;80;936,25
2010-01-28;86;1.011,39
2010-01-27;77;904,87
2010-01-26;73;855,75
2010-01-25;80;937,83
2010-01-24;72;847,36
2010-01-23;83;977,33
2010-01-22;79;920,58
2010-01-21;76;888,96
2010-01-20;78;913,64
2010-01-19;85;995,73
2010-01-18;84;987,61
2010-01-17;83;969,70
2010-01-16;83;977,89
2010-01-15;72;848,09
2010-01-14;77;905,94
2010-01-13;85;996,22
2010-01-12;74;865,10
2010-01-11;75;881,58
2010-01-10;83;970,26
2010-01-09;77;897,28
2010-01-08;72;840,54
2010-01-07;84;980,31
2010-01-06;78;914,79
2010-01-05;79;923,07
2010-01-04;84;980,56
2010-01-03;75;881,53
2010-01-02;81;946,56
2010-01-01;81;946,64
2009-12-31;73;857,88
2009-12-30;73;857,97
2009-12-29;76;890,85
2009-12-28;73;849,93
2009-12-27;78;914,57
2009-12-26;76;890,30
2009-12-25;80;939,09
2009-12-24;80;932,26
2009-12-23;75;874,94
2009-12-22;73;858,62
2009-12-21;84;981,70
2009-12-20;80;931,38
2009-12-19;86;1.004,52
2009-12-18;80;939,66
2009-12-17;77;900,03
2009-12-16;85;990,31
2009-12-15;82;965,80
2009-12-14;82;965,88
2009-12-13;82;956,30
2009-12-12;83;972,62
2009-12-11;85;997,05
2009-12-10;80;933,41
2009-12-09;74;867,89
2009-12-08;86;1.007,37
2009-12-07;76;892,65
2009-12-06;79;924,40
2009-12-05;78;908,24
2009-12-04;72;843,38
2009-12-03;84;983,18
2009-12-02;73;860,26
2009-12-01;83;966,94
2009-11-30;85;999,83
2009-11-29;74;868,14
2009-11-28;85;998,11
2009-11-27;85;990,07
2009-11-26;81;950,95
2009-11-25;76;893,64
2009-11-24;80;934,72
2009-11-23;74;861,00
2009-11-22;78;917,42
2009-11-21;80;941,85
2009-11-20;84;982,52
2009-11-19;87;1.017,13
2009-11-18;81;943,41
2009-11-17;79;927,09
2009-11-16;77;902,57
2009-11-15;77;901,75
2009-11-14;74;861,24
2009-11-13;72;845,08
2009-11-12;74;861,90
2009-11-11;86;1.009,58
2009-11-10;87;1.017,87
2009-11-09;81;944,15
2009-11-08;73;853,61
2009-11-07;85;999,81
2009-11-06;83;975,54
2009-11-05;81;944,48
2009-11-04;78;911,76
2009-11-03;85;993,84
2009-11-02;78;911,92
2009-11-01;78;911,00
2009-10-31;79;927,32
2009-10-30;75;878,69
2009-10-29;81;945,05
2009-10-28;79;928,73
2009-10-27;74;871,41
2009-10-26;74;871,50
2009-10-25;83;968,40
2009-10-24;81;952,24
2009-10-23;75;879,26
2009-10-22;75;880,02
2009-10-21;77;896,51
2009-10-20;73;855,59
2009-10-19;75;880,27
2009-10-18;83;977,08
2009-10-17;79;928,46
2009-10-16;79;928,54
2009-10-15;75;880,60
2009-10-14;81;954,48
2009-10-13;81;946,36
2009-10-12;76;889,04
2009-10-11;79;928,94
2009-10-10;79;929,02
2009-10-09;83;969,70
2009-10-08;81;946,77
2009-10-07;79;922,25
2009-10-06;81;946,94
2009-10-05;75;873,22
2009-10-04;84;978,22
2009-10-03;77;905,24
2009-10-02;79;929,67
2009-10-01;75;881,75
2009-09-30;86;1.004,83
2009-09-29;84;980,31
2009-09-28;83;972,19
2009-09-27;77;905,73
2009-09-26;85;995,10
2009-09-25;84;987,07
2009-09-24;74;865,92
2009-09-23;80;939,80
2009-09-22;74;866,08
2009-09-21;77;898,97
2009-09-20;83;971,24
2009-09-19;74;865,78
2009-09-18;79;922,69
2009-09-17;81;948,49
2009-09-16;82;956,78
2009-09-15;87;1.022,46
2009-09-14;84;981,54
2009-09-13;75;874,39
