date;meals;amount
2012-05-11;278;1.210,00
2012-05-10;311;1.353,96
2012-05-09;313;1.365,91
2012-05-08;311;1.353,47
2012-05-07;333;1.450,82
2012-05-06;292;1.272,62
2012-05-05;263;1.145,04
2012-05-04;243;1.059,91
2012-05-03;316;1.376,65
2012-05-02;335;1.461,80
2012-05-01;291;1.266,36
2012-04-30;291;1.266,12
2012-04-29;265;1.154,38
2012-04-28;277;1.207,24
2012-04-27;289;1.260,09
2012-04-26;304;1.326,14
2012-04-25;332;1.447,90
2012-04-24;304;1.325,65
2012-04-23;296;1.288,81
2012-04-22;257;1.121,05
2012-04-21;289;1.258,82
2012-04-20;252;1.099,40
2012-04-19;307;1.336,63
2012-04-18;296;1.287,59
2012-04-17;315;1.372,74
2012-04-16;309;1.348,10
2012-04-15;279;1.215,09
2012-04-14;274;1.193,65
2012-04-13;259;1.129,75
2012-04-12;326;1.420,32
2012-04-11;301;1.310,28
2012-04-10;278;1.212,44
2012-04-09;298;1.297,59
2012-04-08;242;1.054,39
2012-04-07;269;1.170,94
2012-04-06;254;1.107,04
2012-04-05;334;1.455,22
2012-04-04;334;1.454,97
2012-04-03;295;1.283,93
2012-04-02;314;1.369,08
2012-04-01;288;1.254,57
2012-03-31;266;1.158,84
2012-03-30;283;1.232,92
2012-03-29;300;1.307,11
2012-03-28;289;1.258,06
2012-03-27;319;1.392,02
2012-03-26;328;1.428,38
2012-03-25;249;1.083,26
2012-03-24;251;1.093,67
2012-03-23;249;1.082,84
2012-03-22;302;1.317,60
2012-03-21;283;1.231,96
2012-03-20;299;1.304,91
2012-03-19;333;1.451,07
2012-03-18;263;1.145,46
2012-03-17;241;1.049,72
2012-03-16;265;1.155,65
2012-03-15;285;1.242,69
2012-03-14;313;1.364,45
2012-03-13;324;1.413,00
2012-03-12;333;1.449,36
2012-03-11;243;1.059,06
2012-03-10;282;1.228,68
2012-03-09;255;1.111,71
2012-03-08;279;1.216,58
2012-03-07;296;1.289,54
2012-03-06;310;1.350,30
2012-03-05;276;1.203,65
2012-03-04;255;1.110,65
2012-03-03;284;1.237,80
2012-03-02;274;1.195,14
2012-03-01;290;1.263,68
2012-02-29;298;1.300,03
2012-02-28;304;1.324,19
2012-02-27;312;1.360,54
2012-02-26;272;1.183,46
2012-02-25;252;1.098,34
2012-02-24;264;1.151,19
2012-02-23;320;1.396,17
2012-02-22;301;1.310,52
2012-02-21;315;1.371,28
2012-02-20;289;1.261,24
2012-02-19;269;1.171,36
2012-02-18;244;1.065,01
2012-02-17;249;1.086,02
2012-02-16;275;1.199,26
2012-02-15;281;1.223,42
2012-02-14;317;1.381,77
2012-02-13;283;1.235,13
2012-02-12;278;1.212,33
2012-02-11;266;1.159,05
2012-02-10;246;1.073,92
2012-02-09;325;1.417,15
2012-02-08;297;1.294,91
2012-02-07;300;1.306,86
2012-02-06;331;1.440,82
2012-02-05;278;1.210,85
2012-02-04;241;1.051,42
2012-02-03;288;1.252,88
2012-02-02;277;1.208,04
2012-02-01;330;1.439,60
2012-01-31;314;1.366,16
2012-01-30;294;1.280,51
2012-01-29;256;1.113,83
2012-01-28;246;1.071,16
2012-01-27;238;1.039,11
2012-01-26;274;1.194,14
2012-01-25;299;1.303,69
2012-01-24;305;1.327,85
2012-01-23;319;1.388,60
2012-01-22;285;1.239,72
2012-01-21;248;1.080,29
2012-01-20;241;1.048,24
2012-01-19;302;1.314,43
2012-01-18;290;1.265,38
2012-01-17;290;1.265,14
2012-01-16;302;1.313,70
2012-01-15;260;1.132,09
2012-01-14;238;1.036,35
2012-01-13;272;1.184,73
2012-01-12;287;1.251,72
2012-01-11;304;1.324,68
2012-01-10;324;1.409,83
2012-01-09;279;1.214,39
2012-01-08;284;1.236,74
2012-01-07;252;1.098,55
2012-01-06;242;1.055,88
2012-01-05;312;1.359,81
2012-01-04;292;1.274,17
2012-01-03;276;1.200,72
2012-01-02;318;1.383,48
2012-01-01;252;1.097,28
2011-12-31;276;1.203,20
2011-12-30;244;1.065,01
2011-12-29;312;1.358,10
2011-12-28;326;1.418,86
2011-12-27;281;1.223,42
2011-12-26;314;1.369,57
2011-12-25;254;1.106,40
2011-12-24;271;1.180,49
2011-12-23;264;1.148,43
2011-12-22;286;1.246,60
2011-12-21;325;1.417,15
2011-12-20;306;1.331,51
2011-12-19;317;1.380,06
